date,total.nonUS,Africa.total,Africa.not.elsewhere.classified,Algeria,Angola,Ascension Island,Benin,Botswana,Burkina Faso,Burundi,Cameroon,Cape Verde Island,Central African Republic,Chad,Chagos Archipelago,Comoros Islands,Congo-Brazzaville,Djibouti,Egypt,Eritrea,Ethiopia,Gabon,Gambia,Ghana,Guinea,Guinea.Bissau,Guinea.Equatorial,Ivory Coast,Kenya,Lesotho,Liberia,Libya,Madagascar,Malawi,Mali,Mauritania,Mauritius Islands,Morocco,Mozambique,Namibia,Niger,Nigeria,Reunion,Rwanda,So.Tom.and.Principe,Senegal,Seychelles Islands,Sierra Leone,Somalia Republic,South Africa,St. Helena Islands,Sudan,Swaziland,Tanzania,Togo,Tristan Da Cunha,Tunisia,Uganda,Western Sahara,Congo-Kinshasa,Zambia,Zimbabwe
Feb-99,185480,2314,0,89,5,0,20,7,19,4,37,0,3,0,0,0,14,2,203,,36,18,2,59,26,0,1,43,67,2,1,89,29,9,13,4,12,294,2,12,6,84,6,6,0,44,0,0,14,738,0,10,8,31,26,0,136,14,0,6,14,49
Mar-99,218504,3548,0,116,7,0,12,20,6,4,31,1,0,2,0,0,11,1,225,5,32,18,3,76,37,1,1,49,161,3,0,142,10,10,33,10,34,460,3,10,2,80,36,15,0,30,11,1,4,1214,0,7,4,41,7,0,413,36,0,6,20,87
Apr-99,233727,3420,0,99,22,0,20,21,22,1,17,1,6,1,0,0,10,0,237,1,30,50,0,94,33,2,12,58,146,3,4,123,15,11,27,1,51,500,4,24,6,100,20,10,0,48,5,5,9,1124,1,8,1,44,2,0,202,51,0,12,25,101
May-99,397362,6001,0,132,18,0,31,10,30,5,69,1,3,3,2,0,62,2,535,7,42,73,16,145,57,1,3,96,310,4,5,224,17,17,33,4,85,642,6,37,7,164,143,16,1,70,4,11,21,2188,0,18,7,94,14,0,218,98,0,29,51,120
Jun-99,523132,8582,0,187,14,0,22,34,57,7,85,0,3,5,0,1,25,7,867,3,87,29,6,177,102,4,0,150,391,15,10,175,17,25,47,13,171,850,16,34,8,219,30,27,0,97,6,10,6,3555,0,25,15,157,35,0,439,99,0,52,29,137
Jul-99,693359,9670,0,216,30,0,51,44,55,11,100,0,12,1,6,0,52,16,1141,9,87,97,7,169,85,21,5,164,549,4,13,281,47,26,77,26,275,1324,29,46,8,245,87,31,0,167,5,9,20,2884,0,43,6,226,32,0,445,133,0,19,45,189
Aug-99,642268,10273,0,170,22,0,90,100,106,24,124,2,4,7,3,0,45,31,1035,43,110,96,11,265,123,9,1,259,533,2,6,235,49,23,131,38,223,1666,26,27,20,321,245,37,0,210,30,9,7,2551,4,23,10,116,45,0,576,115,0,31,60,224
Sep-99,572141,7159,0,202,14,0,38,41,48,15,113,3,1,3,0,0,28,21,549,4,55,71,4,219,113,8,7,170,318,7,4,198,45,14,71,7,85,705,15,34,4,243,121,28,1,140,6,7,2,2444,0,21,34,123,54,0,413,106,0,27,45,110
Oct-99,353958,4639,0,127,10,0,27,11,20,5,61,2,2,10,0,0,19,5,360,10,73,20,3,150,77,2,12,85,244,3,6,176,23,19,23,8,59,514,7,9,2,172,32,29,0,98,4,2,14,1570,1,23,3,83,13,0,214,74,0,24,23,76
Nov-99,202025,3448,0,105,10,0,10,16,24,13,43,1,0,2,1,1,39,3,279,5,41,14,4,98,46,2,0,91,142,0,3,122,11,8,28,7,37,399,4,25,3,163,58,3,0,33,7,1,30,1135,0,31,8,39,7,0,168,32,0,8,21,67
Dec-99,243296,5575,0,100,28,0,14,38,18,116,60,0,3,3,1,0,34,9,362,7,54,49,6,127,87,5,1,96,287,2,4,195,8,9,38,10,54,527,14,20,7,286,9,22,1,69,1,4,29,2075,0,45,6,108,19,0,270,54,0,32,32,120
Jan-00,184992,3137,0,82,11,0,17,9,31,6,44,0,2,10,0,1,37,10,267,2,32,42,2,107,67,2,4,63,150,2,8,104,7,6,33,7,26,361,11,21,2,147,14,19,0,43,2,1,13,888,0,8,3,41,10,0,199,71,0,12,14,66
Feb-00,205704,2352,0,67,5,0,15,8,7,13,35,0,3,11,0,0,20,5,200,3,35,24,2,80,36,4,3,45,82,1,3,96,3,4,15,5,36,282,5,3,0,123,9,11,0,40,0,6,19,707,0,12,3,44,3,0,107,30,0,6,15,61
Mar-00,225121,3997,0,93,10,0,14,9,19,1,40,4,4,1,0,0,16,3,315,8,30,25,1,98,50,2,8,49,110,5,3,163,17,4,28,4,31,434,9,14,2,181,5,14,0,20,0,12,4,1098,0,9,7,70,12,0,791,40,1,27,19,63
Apr-00,307782,4384,0,83,18,0,29,36,24,1,47,3,3,6,0,3,4,5,327,12,40,29,3,111,51,1,2,73,170,4,6,188,25,4,27,12,50,482,16,22,1,182,24,13,1,48,6,4,4,1358,0,13,12,61,11,0,443,64,3,26,46,147
May-00,411478,6187,0,201,8,0,36,27,39,11,58,0,1,1,0,0,29,5,530,11,87,30,4,172,65,1,2,82,277,4,1,181,34,25,64,10,123,570,27,38,7,336,140,21,0,103,7,9,7,2148,1,17,10,118,10,0,197,102,0,22,40,138
Jun-00,564591,10891,0,208,86,0,51,78,33,19,96,4,2,18,0,1,23,17,1100,13,133,42,7,218,99,3,6,176,560,16,44,283,34,53,53,11,198,994,33,38,17,424,75,31,5,68,13,24,23,4120,1,42,13,255,13,0,430,96,1,87,119,284
Jul-00,710207,10495,0,248,33,0,45,34,38,16,81,5,4,2,0,0,9,10,1245,21,130,86,8,219,121,0,9,215,604,7,6,265,85,37,76,36,286,1360,18,36,8,294,86,29,0,149,7,10,13,3129,0,61,13,225,15,0,593,131,0,84,91,162
Aug-00,618163,10685,0,217,22,0,71,112,60,30,147,2,9,15,0,1,33,25,1054,29,90,72,16,280,178,1,4,237,578,4,7,304,65,13,103,21,296,1559,26,37,7,379,156,51,0,160,33,20,11,2645,1,51,11,155,22,0,767,95,0,90,86,227
Sep-00,578773,7245,0,169,19,0,42,27,59,11,105,3,4,7,0,2,18,12,448,14,86,50,14,215,115,3,12,108,500,0,14,218,49,17,59,13,134,684,21,21,3,281,79,60,0,108,11,33,13,2429,0,59,9,122,18,0,441,87,0,44,39,136
Oct-00,358579,4976,0,162,22,0,49,15,33,16,80,2,0,7,6,0,21,13,441,11,63,28,6,140,83,3,3,82,210,0,1,155,26,10,53,31,50,596,19,22,8,263,41,22,0,82,4,24,11,1495,0,40,11,80,14,0,221,40,0,32,24,105
Nov-00,204776,3603,0,98,12,0,16,24,18,60,44,0,1,1,0,0,5,9,359,7,46,16,9,121,54,1,4,69,179,3,10,75,13,17,17,8,35,415,8,15,2,175,4,14,0,62,5,9,24,1067,0,13,7,51,10,0,154,47,1,61,41,87
Dec-00,273526,6069,0,83,23,0,22,61,20,8,47,1,0,1,0,0,14,3,402,10,58,39,6,167,106,1,7,91,258,4,11,112,21,7,20,10,59,514,16,23,2,214,45,16,0,75,9,7,10,2727,0,18,9,128,17,0,250,45,0,38,40,194
Jan-01,194772,3566,0,131,7,0,19,8,28,7,78,1,1,10,0,4,18,2,275,8,26,40,10,97,76,4,11,90,150,2,3,180,22,9,24,5,32,454,2,8,11,125,41,9,0,57,4,7,4,944,0,14,1,68,8,0,198,23,0,28,29,153
Feb-01,201303,2447,0,88,17,0,10,6,12,3,34,0,1,4,0,1,2,4,196,5,33,16,3,62,37,0,4,27,96,1,2,94,15,4,25,5,24,296,3,14,3,111,11,16,0,23,3,3,9,760,0,15,2,43,4,0,84,20,0,44,19,133
Mar-01,239537,3541,0,105,9,0,52,9,16,5,31,0,2,3,0,2,7,6,323,7,42,18,2,74,53,5,7,50,167,1,2,90,20,11,21,12,33,430,12,17,6,118,7,13,2,49,3,12,3,1110,0,12,2,62,10,0,242,53,0,34,13,146
Apr-01,289876,4039,0,99,14,0,15,27,15,12,52,0,1,10,0,0,9,2,341,6,43,20,1,98,46,1,6,71,250,0,2,113,25,10,23,8,53,553,6,17,8,205,8,18,0,46,4,8,2,1249,0,15,5,92,8,0,153,41,0,20,25,183
May-01,396226,6264,0,126,18,0,25,28,24,7,79,3,2,9,0,0,25,5,657,21,54,37,6,148,72,2,6,57,264,5,5,88,29,20,47,32,81,645,8,30,5,238,151,15,1,62,3,6,6,2262,0,21,10,128,17,0,222,53,0,21,41,337
Jun-01,542552,9612,0,192,24,0,34,37,46,112,118,0,0,15,0,1,12,6,1225,28,116,43,7,171,95,1,4,109,424,9,3,224,38,31,67,16,210,836,20,60,2,252,55,29,0,116,16,27,11,3485,2,44,4,315,14,0,416,102,2,45,82,259
Jul-01,684734,12406,0,240,31,0,79,20,149,67,240,6,13,38,0,8,12,30,1555,21,135,170,10,197,184,4,7,233,720,14,9,214,141,28,165,17,303,1766,16,29,20,435,112,56,0,298,38,13,13,3138,3,46,5,241,18,0,510,112,0,121,73,283
Aug-01,621806,10233,0,183,26,0,86,70,104,24,142,5,1,15,0,0,8,30,1174,36,109,105,25,229,154,1,3,214,639,9,18,162,62,25,147,18,237,1487,24,44,20,364,12,44,0,218,25,11,5,2534,4,31,7,217,29,0,564,117,0,49,79,287
Sep-01,447297,6107,0,170,38,0,31,32,51,11,103,3,3,16,0,0,16,6,415,15,96,73,7,167,93,1,8,106,392,10,17,103,37,12,49,34,80,538,7,22,7,355,32,19,2,122,7,42,6,1812,1,55,10,108,34,0,281,89,0,41,46,276
Oct-01,262865,4154,0,96,14,0,27,5,30,7,73,10,2,33,1,0,3,5,278,16,55,17,4,98,72,1,5,69,185,1,3,107,18,18,45,16,43,389,7,14,6,171,39,19,0,74,6,3,8,1297,0,29,5,71,17,0,156,57,0,74,22,333
Nov-01,153885,3159,0,79,14,0,24,23,24,16,49,2,3,9,0,2,17,3,222,5,74,21,6,87,38,2,4,53,183,1,3,67,15,12,36,6,27,295,5,7,1,147,2,6,2,42,6,7,13,909,0,20,2,50,14,0,93,30,1,40,27,313
Dec-01,240508,4876,0,64,26,0,10,43,14,28,63,6,2,12,4,1,11,2,315,10,64,56,8,84,81,3,7,71,227,1,1,63,19,21,36,16,37,464,24,15,1,179,11,19,0,61,3,4,24,1922,0,25,2,97,20,0,296,32,0,27,54,190
Jan-02,167107,2663,0,71,11,0,17,10,40,4,49,0,3,19,0,0,3,0,236,5,41,32,4,59,41,2,5,54,136,1,5,43,8,13,16,7,21,344,6,6,1,119,15,12,0,52,4,1,2,783,0,20,1,55,10,0,163,31,0,25,13,44
Feb-02,189040,2184,0,60,6,0,9,14,14,11,25,2,0,9,0,1,8,1,171,3,24,29,8,47,35,0,0,23,118,0,3,44,1,7,13,6,20,282,11,17,5,139,3,21,0,29,3,9,8,622,0,8,5,51,7,0,97,56,0,22,17,60
Mar-02,225839,2853,0,84,14,0,14,18,16,8,30,0,1,5,0,2,2,1,316,8,46,16,0,62,39,5,10,49,142,0,4,57,13,6,18,3,30,347,4,23,2,178,4,6,0,52,6,3,3,917,0,13,1,38,5,0,134,17,0,23,10,48
Apr-02,229955,3448,0,105,14,0,16,26,21,8,37,4,0,13,0,0,2,3,348,10,25,15,3,63,34,0,7,44,178,2,8,60,13,13,18,17,53,570,17,16,7,173,26,8,0,52,10,16,8,1057,0,18,5,63,4,0,113,32,0,20,17,56
May-02,343331,5247,0,184,19,0,27,40,32,20,58,0,1,10,1,1,2,2,485,14,42,34,13,110,45,0,5,95,363,3,2,65,24,23,60,6,97,567,20,32,1,254,56,10,0,89,14,11,3,1734,0,22,2,127,17,0,163,62,0,54,46,80
Jun-02,449621,7956,0,239,43,0,27,25,50,7,77,4,1,7,1,0,4,9,1006,22,76,57,8,155,57,0,11,80,420,4,11,156,35,23,62,31,203,725,16,32,13,319,33,12,0,107,6,12,12,2890,0,47,6,171,22,0,340,95,0,50,38,99
Jul-02,645120,9967,0,213,61,0,34,29,66,34,75,7,0,12,2,1,27,11,1377,20,129,85,10,209,92,0,12,155,729,27,23,156,71,27,109,19,206,1463,50,31,4,421,53,45,6,160,96,11,2,2462,0,68,26,190,41,0,305,243,0,68,91,103
Aug-02,551494,8976,0,179,28,0,68,87,80,14,114,9,6,10,1,0,3,13,1001,23,102,100,10,189,99,0,3,130,600,5,14,108,54,37,105,39,226,1292,15,24,37,355,43,33,1,154,17,7,11,2304,0,22,16,221,47,0,500,139,0,65,93,123
Sep-02,462563,6028,0,219,20,0,46,22,62,54,95,4,0,19,0,3,10,5,494,24,83,67,6,164,68,4,3,101,311,1,3,93,36,17,61,16,107,752,17,37,3,269,26,28,0,173,7,29,2,1779,0,40,6,142,17,0,227,85,0,54,40,77
Oct-02,309514,4444,0,180,20,0,26,38,42,25,70,0,2,7,0,2,7,2,388,13,68,38,9,77,47,0,1,40,237,2,10,65,25,21,49,3,59,620,11,12,8,209,21,15,0,96,3,4,4,1306,0,53,6,82,12,0,204,67,0,50,33,55
Nov-02,185278,3073,0,95,18,2,32,22,12,56,62,0,1,8,4,0,5,6,314,8,31,26,2,77,30,0,4,69,130,2,5,66,13,6,27,6,47,293,22,10,6,249,20,18,0,47,2,8,27,851,0,38,2,36,7,0,82,32,0,57,37,43
Dec-02,259226,5415,0,115,34,0,30,48,8,39,49,0,2,11,0,4,9,2,497,4,92,57,2,84,82,2,2,81,290,2,10,123,20,10,26,17,96,530,12,26,4,256,36,20,0,83,2,8,31,1887,2,54,2,112,6,0,291,57,0,24,48,76
Jan-03,186463,2962,0,71,19,0,15,14,6,2,80,2,0,4,2,2,4,6,260,2,37,27,10,62,20,0,2,87,184,4,9,105,11,10,27,18,33,360,8,18,2,185,10,17,4,63,7,24,3,763,0,20,0,31,10,0,200,40,0,17,21,24
Feb-03,191165,2253,0,76,10,0,7,10,0,4,32,1,0,6,0,0,0,3,246,4,34,35,2,28,33,0,2,26,90,0,10,68,21,4,9,8,18,344,0,16,0,167,4,10,0,37,0,2,8,639,0,16,2,46,4,0,93,33,0,24,9,12
Mar-03,196844,3211,0,95,21,0,21,18,33,23,47,2,2,8,10,4,4,2,252,10,38,40,10,94,61,0,2,34,179,2,22,74,24,10,41,11,22,360,28,13,12,211,70,16,12,84,2,6,4,766,2,21,6,60,6,0,178,28,0,51,22,37
Apr-03,203536,3195,0,144,24,0,24,12,8,9,51,0,2,10,4,10,4,5,323,10,29,25,6,31,29,0,4,19,179,4,23,56,16,6,25,6,42,423,14,20,8,245,10,14,2,29,10,2,10,930,0,7,4,79,4,0,103,44,0,26,19,52
May-03,243328,4486,0,210,10,0,23,35,20,21,72,8,1,12,4,6,10,12,416,0,77,11,10,82,94,2,6,35,233,2,12,46,46,16,35,12,41,544,6,18,7,214,42,13,0,81,8,14,2,1398,0,30,8,117,11,2,180,55,0,32,30,54
Jun-03,361499,7918,0,203,41,0,35,36,25,12,114,16,4,4,2,14,26,8,1101,4,90,63,14,133,96,0,4,66,353,26,16,58,49,22,80,20,144,859,22,28,12,283,124,21,2,88,8,4,7,2764,0,37,4,212,13,0,260,100,0,42,35,114
Jul-03,485246,9283,0,353,73,0,53,35,38,37,87,2,2,21,14,8,6,19,1206,8,116,53,18,176,86,0,2,70,627,20,37,166,56,20,51,25,160,1510,48,86,18,396,69,24,0,141,12,12,24,2373,0,28,11,215,20,0,325,100,0,75,65,86
Aug-03,465126,8858,0,271,39,0,101,89,104,13,122,3,0,14,6,0,6,12,894,23,94,70,23,170,154,5,0,98,487,4,12,151,40,20,79,26,201,1385,18,24,22,521,34,44,0,262,12,18,3,2058,0,10,28,186,27,0,538,67,0,39,70,161
Sep-03,392136,6257,0,235,16,0,30,34,66,19,112,4,2,11,8,7,14,2,522,8,74,68,10,141,92,2,0,37,286,2,53,80,29,30,98,22,65,708,14,14,6,402,58,38,18,195,14,11,6,1729,0,31,2,179,13,2,328,106,0,93,62,49
Oct-03,267669,3964,0,180,21,0,19,26,13,27,62,1,4,8,2,10,10,4,523,14,29,28,6,94,30,0,0,21,158,2,9,86,31,16,16,0,58,544,10,15,0,229,22,12,0,83,10,18,2,1018,0,18,0,100,15,0,155,67,0,39,34,65
Nov-03,161355,2978,0,79,19,0,31,10,16,13,44,0,2,2,0,0,7,0,313,10,20,18,10,62,54,0,0,31,159,0,30,48,25,24,23,3,79,301,4,19,12,245,0,12,0,61,4,28,11,833,4,15,3,57,16,0,107,48,0,23,17,26
Dec-03,238820,5123,0,119,14,0,20,44,23,41,59,0,0,7,2,12,9,2,473,8,44,42,8,101,62,0,0,36,186,2,11,122,31,3,43,14,97,539,18,28,6,219,38,14,0,88,16,52,8,1881,0,8,0,85,14,0,263,53,0,38,28,92
Jan-04,171725,2919,0,67,32,2,24,10,15,3,28,0,0,4,0,0,4,5,336,4,37,28,6,56,28,0,5,44,77,0,3,60,7,8,31,9,29,461,10,5,7,174,94,16,4,72,4,9,1,692,0,16,6,68,3,0,150,61,0,28,12,64
Feb-04,188584,2266,0,94,2,0,27,12,36,9,20,0,0,3,0,10,6,3,231,14,14,16,0,25,15,0,2,26,86,2,3,53,15,0,11,12,36,376,2,4,3,99,24,9,0,33,4,8,15,606,0,22,2,51,1,0,78,65,0,29,13,39
Mar-04,200622,3294,0,118,16,0,15,21,13,7,41,2,0,2,0,9,4,9,328,0,22,22,13,78,78,0,0,16,151,3,12,49,24,13,29,12,46,402,8,28,5,207,42,8,2,46,0,17,0,927,0,21,2,73,1,0,181,96,0,24,14,37
Apr-04,243405,3494,0,107,20,0,10,48,24,9,37,0,0,6,3,4,26,0,415,2,21,24,8,52,22,0,0,39,179,15,8,90,30,10,17,12,41,525,13,24,10,139,12,14,0,63,16,21,3,978,0,12,7,91,5,2,123,57,0,37,23,40
May-04,379425,6452,0,279,14,2,54,36,13,30,122,7,0,0,0,14,33,5,693,20,55,60,17,140,43,0,6,45,369,0,5,147,26,20,72,32,128,752,4,33,16,265,107,16,0,107,0,2,9,1963,0,44,2,136,18,2,240,109,0,43,58,39
Jun-04,486164,8647,0,310,39,0,24,42,37,26,118,6,3,13,2,30,19,4,1086,8,76,47,8,211,68,0,8,58,360,10,13,90,40,22,35,24,230,978,13,28,16,318,93,24,4,142,12,63,5,3060,0,15,15,167,20,0,275,137,0,46,65,84
Jul-04,639730,10007,0,383,44,0,39,36,41,29,102,11,0,5,2,29,38,12,1374,6,127,65,23,225,110,0,4,43,588,1,11,146,47,36,102,43,226,1539,22,34,9,341,242,45,0,197,2,20,5,2590,0,42,6,144,28,2,357,204,0,52,69,109
Aug-04,582887,9584,0,247,22,0,51,90,54,31,144,3,0,14,6,2,36,34,1248,17,79,57,35,170,166,0,2,96,386,8,9,209,41,18,49,24,226,1678,10,12,52,574,34,36,0,220,15,57,1,2347,0,60,13,142,19,0,361,97,1,85,56,140
Sep-04,515146,7794,0,398,43,0,89,28,50,19,85,5,0,7,6,28,38,41,578,24,88,60,8,196,79,0,0,63,332,8,10,152,47,24,30,24,181,839,34,18,21,543,125,42,0,154,4,46,2,2442,2,56,6,139,40,0,236,137,0,15,60,92
Oct-04,373405,4946,0,207,57,0,38,26,134,23,87,0,0,5,0,4,20,4,502,23,21,22,6,123,68,0,4,64,166,4,5,79,16,12,68,6,53,418,4,12,29,273,110,36,1,120,0,24,3,1526,0,12,2,112,12,2,154,72,0,63,46,68
Nov-04,176606,2991,0,112,7,0,27,16,15,18,44,0,0,0,2,2,22,4,334,22,34,31,9,100,43,0,0,21,118,2,10,77,9,20,20,4,27,346,2,4,14,203,8,22,0,49,3,6,9,836,0,22,10,105,10,0,92,29,0,23,20,28
Dec-04,260853,5696,0,143,32,8,35,48,25,13,53,0,0,2,0,8,11,2,440,6,18,51,14,74,90,0,2,31,183,4,0,116,19,30,20,8,105,591,26,28,24,249,30,25,0,84,6,12,11,2332,0,13,2,133,11,0,291,47,0,40,46,104
Jan-05,189425,3086,0,62,15,0,13,27,23,6,55,4,0,6,0,4,11,7,343,4,26,32,16,59,32,0,0,25,95,2,14,56,12,8,28,4,37,439,6,12,16,216,25,9,0,69,0,7,4,880,0,29,1,60,14,0,176,34,0,4,23,36
Feb-05,209767,2435,0,94,10,0,5,25,10,10,25,0,0,6,0,0,1,0,181,5,47,33,4,62,30,0,4,16,73,0,26,125,8,8,19,4,23,310,2,6,3,166,26,8,0,49,2,2,6,733,0,20,0,34,0,0,113,24,0,28,26,23
Mar-05,244978,3597,0,98,12,0,30,20,22,8,53,0,0,6,0,6,33,2,319,6,30,58,2,89,27,0,0,9,134,2,6,61,26,8,32,16,31,476,10,25,6,244,46,13,0,76,4,4,3,1109,0,12,3,82,6,0,213,35,0,24,34,26
Apr-05,252617,4183,0,149,16,2,27,30,18,9,56,0,0,2,2,12,0,10,367,13,58,24,9,92,37,0,6,18,181,8,23,70,15,6,16,8,110,651,8,20,14,287,72,10,2,91,16,4,8,1162,0,24,22,76,6,0,134,54,0,10,44,74
May-05,397682,6317,0,266,28,0,50,32,32,13,71,1,0,8,0,0,6,2,742,16,51,36,6,138,32,0,2,54,299,6,20,140,38,18,110,20,93,719,14,30,8,315,88,24,0,80,6,4,7,2076,0,47,5,100,14,0,233,86,0,27,43,61
Jun-05,536447,9292,0,316,22,0,47,47,52,23,143,2,0,12,10,0,24,4,1163,13,65,28,12,162,91,2,8,69,459,20,19,138,38,52,30,23,206,991,28,44,16,375,50,27,0,105,19,6,5,3376,0,39,8,211,30,0,379,73,0,40,86,84
Jul-05,691276,10885,0,474,55,0,45,50,45,21,113,15,0,9,4,12,16,15,1498,38,110,36,9,198,59,2,2,60,450,4,41,196,38,22,91,68,334,1541,30,30,21,438,346,47,0,158,6,19,9,3048,0,20,9,160,30,0,474,163,0,46,79,81
Aug-05,604276,9313,0,292,15,0,53,113,56,9,126,0,2,7,6,20,18,16,1203,15,66,71,18,215,53,2,12,43,405,4,2,159,23,14,60,37,241,1280,24,32,15,814,166,45,0,210,4,8,5,2269,0,27,14,169,21,2,420,90,0,48,90,184
Sep-05,543956,8417,0,276,28,0,72,32,41,15,159,0,8,8,4,14,13,11,748,20,100,35,28,216,70,2,0,82,379,6,14,233,37,30,58,22,120,887,44,52,14,538,175,34,2,193,16,14,10,2594,0,29,8,203,21,0,393,88,0,58,72,91
Oct-05,345752,4539,0,170,16,0,29,24,41,17,75,2,2,3,0,15,9,2,461,12,63,42,6,196,39,4,6,29,217,22,14,102,41,6,28,8,38,486,4,16,24,378,92,19,0,100,2,10,8,1149,0,17,14,104,5,0,149,63,0,39,58,63
Nov-05,198821,3826,0,150,20,0,17,26,27,18,44,0,2,0,8,6,12,5,358,13,78,52,6,80,17,2,6,20,128,8,3,93,23,16,44,4,56,481,20,27,18,324,10,22,0,75,4,9,13,1036,0,34,2,100,18,0,149,26,0,13,30,73
Dec-05,290097,6035,0,196,10,0,23,87,48,17,82,0,4,4,0,10,14,6,544,31,54,43,3,104,34,0,12,53,228,0,35,112,20,12,32,8,73,550,24,28,7,326,82,22,0,91,4,19,5,2298,0,20,10,77,17,0,316,74,0,38,44,84
Jan-06,204312,3917,0,127,20,0,13,36,22,8,78,1,0,2,0,0,24,8,437,12,49,82,6,40,22,0,4,19,181,4,1,154,10,9,31,18,52,568,16,4,12,327,44,15,0,52,2,4,3,954,0,16,2,87,10,0,171,72,0,9,44,35
Feb-06,205732,2792,0,137,6,0,12,20,24,18,57,0,4,5,0,0,2,6,251,20,29,42,2,74,25,0,2,5,117,0,9,110,28,2,17,6,31,415,6,11,4,190,10,7,0,28,2,0,8,727,0,28,2,30,24,0,134,59,0,10,17,19
Mar-06,235326,3877,0,203,24,0,39,20,44,6,48,2,0,2,0,2,11,4,357,18,40,38,10,93,26,2,0,24,159,0,15,171,14,2,41,9,59,422,22,22,7,204,20,23,0,42,0,4,2,1153,0,29,2,82,2,0,181,73,0,55,17,32
Apr-06,278273,4169,0,190,26,0,65,23,32,21,62,4,0,4,2,4,11,5,464,16,57,25,8,70,21,0,2,27,176,2,8,138,35,10,49,33,66,593,4,63,28,212,24,33,0,68,8,4,5,987,0,18,0,72,4,0,217,45,0,38,48,42
May-06,413852,6480,0,300,34,0,38,24,45,12,114,2,2,10,4,8,28,7,703,17,61,38,2,118,41,2,2,37,349,1,10,124,34,19,68,32,147,782,12,38,12,392,72,26,0,72,0,14,1,2002,0,59,14,131,17,0,209,62,0,38,42,52
Jun-06,528894,11767,0,624,34,0,94,50,57,43,169,4,1,12,6,4,12,8,1269,36,126,25,6,224,56,0,0,89,775,18,10,94,32,64,58,39,213,1280,56,42,76,571,118,50,0,132,3,25,4,3643,0,65,4,418,18,0,453,216,0,89,77,175
Jul-06,668096,11292,0,710,47,0,51,38,61,33,119,0,0,13,1,2,19,24,1631,38,158,61,12,172,82,2,8,71,584,20,14,204,60,44,89,14,355,1384,24,30,27,676,231,41,0,196,14,27,6,2711,0,33,15,252,20,0,482,180,0,67,50,89
Aug-06,611602,14423,0,637,52,0,100,163,109,78,235,2,2,6,16,4,23,16,1186,50,265,78,28,355,106,4,0,126,768,28,26,229,67,130,101,30,248,1741,98,78,27,1177,348,95,0,240,11,28,3,3326,0,57,50,344,38,0,493,440,4,98,250,209
Sep-06,533936,8974,0,693,12,0,46,69,89,44,184,0,3,12,0,12,25,4,774,30,161,77,18,165,68,0,2,87,347,14,1,122,70,50,61,6,110,815,40,40,13,846,125,46,0,143,4,12,4,2503,0,44,8,197,18,0,387,96,0,99,93,85
Oct-06,339283,5064,0,230,42,0,46,37,33,6,155,0,0,10,0,0,7,0,453,14,64,33,23,167,58,2,2,58,255,0,23,64,21,24,63,6,65,473,34,8,15,417,74,28,0,73,2,2,4,1399,0,24,8,115,22,0,167,82,0,55,34,67
Nov-06,197165,4017,0,216,25,0,19,28,32,10,79,0,0,4,12,0,6,2,432,15,55,18,5,88,20,0,2,39,178,12,12,52,17,8,27,14,46,507,6,14,14,239,28,16,0,83,4,4,10,1112,0,15,10,146,10,0,153,57,0,50,36,30
Dec-06,301066,6438,0,241,30,0,42,64,44,29,83,10,0,2,8,0,6,6,723,37,69,31,3,101,58,0,5,113,176,8,0,62,36,10,32,14,92,635,6,27,38,462,70,10,0,130,5,4,8,2171,0,26,0,95,14,0,314,50,0,70,92,76
Jan-07,207038,3731,0,160,14,0,21,6,34,8,72,0,2,2,0,6,2,4,346,10,18,16,4,95,35,0,6,26,149,0,4,88,17,10,25,8,22,485,12,26,8,322,40,15,0,118,8,2,4,950,0,16,7,57,17,0,202,70,0,41,46,75
Feb-07,221291,2849,0,165,18,0,31,20,14,9,30,0,0,2,2,2,4,2,240,6,40,15,0,68,9,0,8,28,90,2,2,56,18,8,22,4,12,376,6,8,0,167,30,23,0,40,12,10,6,928,0,33,2,66,6,0,134,24,0,16,13,22
Mar-07,257050,4403,0,234,25,0,8,32,50,21,63,2,4,4,4,0,4,0,383,17,39,10,14,127,40,0,4,47,182,0,17,34,24,23,24,24,42,643,10,38,4,279,20,32,0,53,10,6,6,1282,0,5,4,84,19,0,233,49,0,47,36,41
Apr-07,275418,5011,0,338,19,0,40,18,29,38,126,0,0,0,4,0,7,6,509,14,40,29,6,127,36,0,4,75,210,8,7,144,19,8,37,6,68,602,12,26,23,416,35,27,0,77,6,12,3,1274,0,31,8,107,10,0,199,42,0,30,57,42
May-07,418315,7120,0,390,18,0,47,57,37,16,127,0,2,5,7,0,16,4,703,30,116,27,10,175,56,0,4,66,346,6,4,72,38,14,58,27,74,811,20,65,43,473,84,17,2,97,0,6,7,2118,2,38,2,149,45,0,320,90,0,61,52,66
Jun-07,559837,11896,0,738,38,2,87,23,91,48,175,4,0,4,6,24,41,4,1320,38,117,21,32,282,77,0,16,100,453,8,25,139,42,50,94,49,203,1198,15,60,33,774,156,38,0,202,12,10,23,3766,0,46,5,237,24,2,470,138,0,161,87,88
Jul-07,694983,13472,0,964,40,0,69,61,54,25,152,0,3,2,6,0,20,10,1751,28,121,50,18,315,89,0,0,67,526,18,13,241,70,42,106,42,372,2394,33,26,38,769,256,36,0,171,20,14,2,3167,0,50,15,196,42,0,536,163,0,67,73,129
